claim_id,claim,preferred_source,url,access_date,status,exact_field_or_evidence,caveat
HW-H200-001,H200 SXM memory capacity and bandwidth,NVIDIA,https://www.nvidia.com/en-us/data-center/h200/,2026-08-11,reverify,record exact SXM table row,distinguish SXM from NVL and per-GPU from node
HW-H200-002,H200 SXM FP8 and INT8 published peak are equal (symmetric baseline),NVIDIA,https://www.nvidia.com/en-us/data-center/h200/,2026-08-11,verified,"SXM column: FP8 Tensor Core 3,958 TFLOPS; INT8 Tensor Core 3,958 'TFLOPS' (sic - NVIDIA prints the INT8 row's unit as TFLOPS; the string 'TOPS' appears nowhere in the page HTML, verified 2026-08-12 by adversarial re-fetch); footnote '2 With sparsity.' -> dense 1,979 each -> ratio 1.00:1. FP64 Tensor Core: 67 TFLOPS (dense)",CORRECTED 2026-08-12: an earlier version of this row said the SXM INT8 cell reads 'TOPS' and only the NVL column was mislabeled - wrong; the whole INT8 row is labeled TFLOPS. Surface the sic in the paper rather than silently normalizing. Footnote 1 says 'Preliminary specifications'
HW-B200-001,B200 FP8 and INT8 dense per-GPU peaks are also equal (1:1),NVIDIA,https://www.nvidia.com/en-us/data-center/hgx/,2026-08-11,verified,Blackwell Architecture Technical Brief Table 3 'Per GPU Specs Below': FP8/FP6 Dense/Sparse 4.5/9 petaFLOPS; INT8 Dense/Sparse 4.5/9 petaOPS,"B200 is NOT being rented; cited from spec only. Establishes that the INT8 cut is Blackwell->Blackwell Ultra, not Hopper->Blackwell"
HW-B300-001,B300 naming memory bandwidth and NVLink topology,NVIDIA,https://resources.nvidia.com/en-us-blackwell-architecture/blackwell-architecture-technical-brief,2026-08-11,reverify,Technical Brief Table 3 HGX B300 column,no standalone nvidia.com B300 GPU product page exists; per-GPU numbers live only in datasheet/technical brief/DGX Station page
HW-B300-002,B300 dense per-GPU FP8:INT8 ratio is approximately 30:1,NVIDIA,https://resources.nvidia.com/en-us-blackwell-architecture/blackwell-architecture-technical-brief,2026-08-11,verified,Technical Brief Table 3 rows labelled Dense/Sparse: 'FP8/FP6 Tensor Core' HGX B300 = 4.5/9 petaFLOPS; 'INT8 Tensor Core' HGX B300 = 0.15/0.30 petaOPS -> 4500/150 = 30.0x,"SUPERSEDES the draft's 29x and 32x. Those mixed SKU bins (5,000 TFLOPS is GB300 NVL72; 154 TOPS is HGX B300). Pick one SKU and hold it. Also TFLOPS-vs-TOPS: a rate ratio between different op types, not like-for-like"
HW-B300-003,B300 INT8 dense 153.5 TOPS on HGX bin (source of the draft's 154),NVIDIA,https://resources.nvidia.com/en-us-blackwell-architecture/blackwell-ultra-datasheet,2026-08-11,verified,"Blackwell Ultra Datasheet p.4 'Individual Blackwell Ultra GPU Specifications': INT8 Tensor Core2 = 330 TOPS (GB300) / 307 TOPS (HGX B300); footnote '2. Specification in sparse. Dense is 1/2 sparse spec shown.' -> HGX dense 153.5, GB300 dense 165",SKU-specific: HGX/DGX B300 air-cooled 1100W bin = 150-153.5 dense; GB300 NVL72 liquid-cooled bin = 165-167 dense
HW-B300-004,NVIDIA omits INT8 from its Blackwell Ultra architecture blog table but publishes it in datasheet and technical brief,NVIDIA,https://developer.nvidia.com/blog/inside-nvidia-blackwell-ultra-the-chip-powering-the-ai-factory-era/,2026-08-11,verified,Blog Table 2 'NVIDIA GPU chip comparison' carries NVFP4 and FP8 dense|sparse rows and no INT8 row and no FP64 row,INT8 does not 'silently disappear' from the rigorous documents; only from the blog summary. Do not claim NVIDIA hid it
HW-B300-005,"B300 FP64 was cut by a similar ~30x factor, corroborating the INT8 cut",NVIDIA,https://resources.nvidia.com/en-us-blackwell-architecture/blackwell-architecture-technical-brief,2026-08-11,verified,Technical Brief Table 3 'FP64 Tensor Core | FP64': HGX B300 = 1.2 teraFLOPS vs HGX B200 = 37 teraFLOPS,Same silicon decision cut FP64 and INT8 by essentially the same factor; strengthens the 'deliberate deprioritisation' framing
HW-B300-006,"INT8 tensor-core support still EXISTS on cc 10.3, it is rate-limited not removed",NVIDIA,https://docs.nvidia.com/cuda/cuda-programming-guide/05-appendices/compute-capabilities.html,2026-08-11,verified,Programming Guide Table 33 'Input Data Types Supported by Tensor Core Acceleration per Compute Capability': at 10.3 INT8 = Yes; FP64 blank (Yes at 8.0/9.0/10.0),Distinguish 'rate-limited' from 'removed'. FP64 tensor cores are removed; INT8 is not
HW-CUDA-001,CUDA Best Practices arithmetic-throughput table CANNOT settle INT8 vs FP8 matrix rates,NVIDIA,https://docs.nvidia.com/cuda/cuda-c-best-practices-guide/index.html#arithmetic-instructions-throughput-native-arithmetic-instructions,2026-08-11,verified,"Table 5 'Throughput of Native Arithmetic Instructions' lists only CUDA-core/SIMT instructions; no tensor-core row, no IMMA row, dp4a appears zero times. It does settle FP64: add.f64 = 64 results/clock/SM at cc 10.0 dropping to 2 at cc 10.3",Do NOT cite this table for tensor-core INT8 vs FP8. It was expected to be decisive and is not
RT-VLLM-001,vLLM has NO CUTLASS INT8 W8A8 GEMM kernel for Blackwell SM100/SM103; default INT8 path hard-errors on B300,vLLM source,https://github.com/vllm-project/vllm/blob/main/csrc/libtorch_stable/quantization/w8a8/cutlass/scaled_mm_c3x_sm100.cu,2026-08-11,verified,"scaled_mm_c3x_sm100.cu passes nullptr as the int8 handler with the comment '// int8 not supported on SM100'; scaled_mm_helper.hpp then raises STD_TORCH_CHECK(false, 'Int8 not supported on SM', version_num, '. Use FP8 quantization instead, or run on older arch (SM < 100).'). Verified at commit 6c95a641e95c0faa6f3aa802d1fd3cce3f3bc3ce","Hard error, NOT silent dequant fallback. The Gate-1 silent-fallback risk does not apply to this path"
