experiment_id,tier,hardware,model,format,phase,tp,isl_tokens,osl_tokens,load_or_concurrency,repeats,purpose,priority
GATE1-B300-RUNBOOK,gate,B300x1-or-x2,RedHatAI-Llama-3.2-1B-w8a8-fixture,"INT8-W8A8-via-Triton|IMMA-microbench|cuBLASLt-INT8-probe",kernel,1,NA,NA,"runbook-scripted",7,"IMMA-counter-verdict-and-first-attained-INT8-TOPS; see reproducibility/gate1_runbook/",P0
GATE1-H200-CONTROL,gate,H200x1,RedHatAI-Llama-3.2-1B-w8a8-fixture,"INT8-W8A8-Cutlass|INT8-W8A8-Triton|IMMA-microbench",kernel,1,NA,NA,"runbook-scripted",7,"positive-control-where-both-paths-work; anchors Triton-penalty",P0
MICRO-H200-QWEN,mechanism,H200,Qwen3-32B-shapes-only,"BF16|INT8-W8A8|FP8-W8A8|NVFP4|INT8-W8A16-control",gemm-layer,1,"shape-derived",NA,"active_tokens=1|2|4|8|16|32|64|128|256|512|1024|2048|4096",7,"calibrate-attained-roofline; TRAINING-ELIGIBLE",P0
MICRO-H200-405B,diagnostic-post-freeze,H200,Llama-405B-layer-shapes,"BF16|INT8-W8A8|FP8-W8A8|NVFP4",gemm-layer,1,"shape-derived",NA,"active_tokens=1|2|4|8|16|32|64|128|256|512|1024|2048|4096",7,"HELD-OUT shapes; run only after Predictor Freeze Amendment",P0
MICRO-B300-QWEN,mechanism,B300,Qwen3-32B-shapes-only,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4|INT8-W8A16-control",gemm-layer,1,"shape-derived",NA,"active_tokens=1|2|4|8|16|32|64|128|256|512|1024|2048|4096",7,"calibrate-attained-roofline; TRAINING-ELIGIBLE; INT8 path-specific",P0
MICRO-B300-405B,diagnostic-post-freeze,B300,Llama-405B-layer-shapes,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4",gemm-layer,1,"shape-derived",NA,"active_tokens=1|2|4|8|16|32|64|128|256|512|1024|2048|4096",7,"HELD-OUT shapes; run only after Predictor Freeze Amendment",P0
BACKEND-PENALTY-H200,calibration-only,H200,Qwen3-32B,"INT8-W8A8-Cutlass-vs-Triton",gemm-layer-and-serving,1,"128|2048|32768","128","batch=1|4|16|64",7,"Triton-penalty P(regime); ISL=8192 EXCLUDED (held-out bucket, P interpolated); firewalled from predictor training",P0
BACKEND-PENALTY-DECODE-H200,calibration-only,H200,Qwen3-32B,"INT8-W8A8-Cutlass-vs-Triton",decode,1,"128|2048|32768","128","concurrency=1|4|16|64|256",7,"Triton-penalty on decode concurrency axis; firewalled from predictor training",P0
QWEN-PREFILL-H200,causal-grid,H200,Qwen3-32B,"BF16|INT8-W8A8|FP8-W8A8|NVFP4",prefill,1,"128|512|2048|8192|32768",1,"batch=1|2|4|8|16|32",7,"locate-INT8/FP8-and-NVFP4/FP8-crossovers",P0
QWEN-PREFILL-B300,causal-grid,B300,Qwen3-32B,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4",prefill,1,"128|512|2048|8192|32768",1,"batch=1|2|4|8|16|32",7,"locate-NVFP4/FP8-crossover; INT8 as bounded arm",P0
QWEN-DECODE-H200,causal-grid,H200,Qwen3-32B,"BF16|INT8-W8A8|FP8-W8A8|NVFP4",decode,1,"128|2048|8192|32768","128|512","concurrency=1|2|4|8|16|32|64|128|256",7,"locate-decode-crossovers-both-pairs",P0
QWEN-DECODE-B300,causal-grid,B300,Qwen3-32B,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4",decode,1,"128|2048|8192|32768","128|512","concurrency=1|2|4|8|16|32|64|128|256",7,"locate-decode-crossovers; INT8 bounded",P0
QWEN-MIXED-H200,serving,H200,Qwen3-32B,"BF16|INT8-W8A8|FP8-W8A8|NVFP4",mixed,1,"trace-buckets","trace-buckets","low|medium|saturation",7,"validate-under-mixed-traffic",P1
QWEN-MIXED-B300,serving,B300,Qwen3-32B,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4",mixed,1,"trace-buckets","trace-buckets","low|medium|saturation",7,"validate-under-mixed-traffic",P1
QWEN-TP-SENS-H200,robustness,H200,Qwen3-32B,"INT8-W8A8|FP8-W8A8|NVFP4",mixed,"2|4|8","512|8192","128|512","selected-boundary-points",5,"separate-communication-effects",P2
QWEN-TP-SENS-B300,robustness,B300,Qwen3-32B,"FP8-W8A8|NVFP4",mixed,"2|4|8","512|8192","128|512","selected-boundary-points",5,"separate-communication-effects; no INT8 TP arm on B300",P2
SGLANG-ROBUST-H200,robustness,H200,Qwen3-32B,"FP8-W8A8|NVFP4|INT8-W8A8",selected,1,"512|8192","128","selected-boundary-points",5,"second-backend-robustness; INT8 available on Hopper",P2
SGLANG-ROBUST-B300,robustness,B300,Qwen3-32B,"FP8-W8A8|NVFP4",selected,1,"512|8192","128","selected-boundary-points",5,"second-backend-robustness; SGLang has NO Blackwell INT8 path (audit sec V-B)",P2
LLAMA405-H200,held-out,H200,Llama-3.1-405B,"BF16|INT8-W8A8|FP8-W8A8|NVFP4",prefill-decode,8,"predictor-selected","predictor-selected","10-to-20-boundary-points-per-crossover-pair",7,"OOD-scale-validation-both-pairs",P0
LLAMA405-B300,held-out,B300,Llama-3.1-405B,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4",prefill-decode,8,"predictor-selected","predictor-selected","10-to-20-boundary-points-per-crossover-pair",7,"OOD-scale-validation; INT8 bounded",P0
LLAMA405-LAYER-H200,diagnostic,H200,Llama-3.1-405B-layer,"BF16|INT8-W8A8|FP8-W8A8|NVFP4",layer-replay,1,"shape-derived",NA,"matched-to-held-out-points",7,"separate-shape-from-TP",P1
LLAMA405-LAYER-B300,diagnostic,B300,Llama-3.1-405B-layer,"BF16|INT8-W8A8-triton-path|FP8-W8A8|NVFP4",layer-replay,1,"shape-derived",NA,"matched-to-held-out-points",7,"separate-shape-from-TP",P1
PD-H200,application,H200,frontier-MoE-per-GO-NO-GO-sec5,"checkpoint-native|BF16-control",PD-4P4D,"4+4","trace-buckets","trace-buckets","low|medium|SLO-boundary",5,"application-external-validity",P1
PD-B300,application,B300,frontier-MoE-per-GO-NO-GO-sec5,"checkpoint-native|BF16-control",PD-4P4D,"4+4","trace-buckets","trace-buckets","low|medium|SLO-boundary",5,"application-external-validity",P1
SESSION-RETEST-H200,replication,H200,"Qwen3-32B+405B-keypoints","winning-and-near-boundary-formats",selected,"same-as-primary","same-as-primary","same-as-primary","second-rental-session",5,"estimate-session-variance",P1
SESSION-RETEST-B300,replication,B300,"Qwen3-32B+405B-keypoints","winning-and-near-boundary-formats",selected,"same-as-primary","same-as-primary","same-as-primary","second-rental-session",5,"estimate-session-variance",P1
REQUANT-B300-DECODE,diagnostic,B300,Qwen3-32B,"INT8-ckpt-FP8-exec-requant|FP8-W8A8",decode,1,"128|2048|32768","128","concurrency=1|4|16|64|256",5,"C12 conversion-loophole arm; quality gates (§7) REQUIRED before any throughput; EXCLUDED-FROM-PREDICTOR; execution dtype must be NCU-verified FP8",P2
REQUANT-B300-PREFILL,diagnostic,B300,Qwen3-32B,"INT8-ckpt-FP8-exec-requant|FP8-W8A8",prefill,1,"128|2048|32768","1","batch=1|8|32",5,"C12 conversion-loophole arm; same gates-first and NCU-verification rules; EXCLUDED-FROM-PREDICTOR",P2
